Drug[UMLS_CUI];DrugTargets[EntrezGene];Disease[UMLS_CUI];DiseaseProteins[EntrezGene]
"""C0082966""";3757;"""C0003811""";[183,287,551,775,1636,1906,2100,2697,2992,3360,3757,3759,3827,4986,4987,5502,5743,7200,54805,151648]
"[""C0032950"",""C0020268"",""C0011777"",""C0040864"",""C0054201"",""C0025815"",""C0060501"",""C0010137"",""C0032952"",""C0004905"",""C0360564"",""C0907850"",""C1948374"",""C0058004"",""C0005308"",""C0016299"",""C0016298"",""C0071836"",""C0304612"",""C0011707"",""C0082787""]";2908;"""C0003860""";[1543,5444,5624]
"[""C0021735"",""C0796545"",""C0021734"",""C0391001"",""C0164613"",""C0254119"",""C0244713""]";[3454,3455];"""C0003860""";[1543,5444,5624]
"""C0030899""";[135,136,5136,5137,5138,5139,5140,5141,5142,5143,5144,5145,5146,5147,5148,5149,5150,5151,5152,5153,5158,8622,8654,10846,27115];"""C0003860""";[1543,5444,5624]
"[""C0004057"",""C0020740"",""C0027396"",""C0038792"",""C0021246"",""C0022635"",""C0031990"",""C0040377"",""C0016377"",""C0012091"",""C0069739"",""C0015837"",""C0012228"",""C0025152"",""C0038878"",""C0073631"",""C0961209"",""C0054094"",""C0030125""]";[5742,5743];"""C0003862""";[1440,4598]
"""C0028833""";[6751,6752,6753,6754,6755];"""C0003862""";[1440,4598]
"[""C0004057"",""C0020740"",""C0027396"",""C0038792"",""C0021246"",""C0022635"",""C0031990"",""C0040377"",""C0016377"",""C0012091"",""C0069739"",""C0015837"",""C0012228"",""C0025152"",""C0038878"",""C0073631"",""C0961209"",""C0054094"",""C0030125""]";[5742,5743];"""C0003868""";5443
"""C0033209""";[9356,9376,55867];"""C0003868""";5443
"[""C0025677"",""C1721300""]";1719;"""C0003872""";[652,860,968,3107,3576,3593,4049,4210,4843,4929,5966,7124,10758,54620,64127]
"[""C0666743"",""C1122087"",""C2353893"",""C0717758"",""C1872109""]";7124;"""C0003872""";[652,860,968,3107,3576,3593,4049,4210,4843,4929,5966,7124,10758,54620,64127]
"[""C0032950"",""C0020268"",""C0011777"",""C0040864"",""C0054201"",""C0025815"",""C0060501"",""C0010137"",""C0032952"",""C0004905"",""C0360564"",""C0907850"",""C1948374"",""C0058004"",""C0005308"",""C0016299"",""C0016298"",""C0071836"",""C0304612"",""C0011707"",""C0082787""]";2908;"""C0003873""";[135,156,176,177,196,240,306,326,356,412,471,597,624,633,639,640,652,654,800,847,858,860,861,914,916,921,940,958,1021,1235,1244,1356,1401,1404,1437,1490,1493,1509,1656,1687,1719,1776,1803,1827,2023,2147,2212,2289,2356,2618,2625,2638,2870,2920,2974,3059,3115,3118,3123,3236,3237,3239,3290,3394,3458,3486,3491,3516,3553,3557,3559,3560,3569,3570,3572,3576,3586,3606,3654,3655,3663,3798,3899,3934,4082,4204,4218,4261,4282,4313,4319,4321,4353,4520,4524,4688,4794,4795,4982,5138,5243,5341,5444,5453,5583,5588,5673,5743,5747,5771,5788,5890,5911,5966,6355,6366,6372,6441,6556,6583,6611,6648,6772,6775,6821,7090,7097,7112,7124,7127,7128,7185,7189,7297,7422,7852,7917,7980,8013,8200,8320,8604,8714,8740,8764,8836,9052,9135,9145,9308,9355,9370,9415,9429,9474,10057,10125,10257,10274,10586,10628,10665,10666,10678,10745,10956,11102,11170,22806,23228,23534,23569,23643,23766,26147,26191,50943,51561,51744,53347,54541,54826,54899,55289,55755,55937,55971,56244,56901,57007,57705,57719,79016,79258,79722,81567,81849,84159,84162,84709,84752,85313,90355,117289,122618,130540,151056,160364,171425,200734,219790,221895,285704,342132,652968,653361]
