Drug[UMLS_CUI];DrugTargets[EntrezGene];Disease[UMLS_CUI];DiseaseProteins[EntrezGene]
"[""C0025677"",""C1721300""]";1719;"""C0003873""";[135,156,176,177,196,240,306,326,356,412,471,597,624,633,639,640,652,654,800,847,858,860,861,914,916,921,940,958,1021,1235,1244,1356,1401,1404,1437,1490,1493,1509,1656,1687,1719,1776,1803,1827,2023,2147,2212,2289,2356,2618,2625,2638,2870,2920,2974,3059,3115,3118,3123,3236,3237,3239,3290,3394,3458,3486,3491,3516,3553,3557,3559,3560,3569,3570,3572,3576,3586,3606,3654,3655,3663,3798,3899,3934,4082,4204,4218,4261,4282,4313,4319,4321,4353,4520,4524,4688,4794,4795,4982,5138,5243,5341,5444,5453,5583,5588,5673,5743,5747,5771,5788,5890,5911,5966,6355,6366,6372,6441,6556,6583,6611,6648,6772,6775,6821,7090,7097,7112,7124,7127,7128,7185,7189,7297,7422,7852,7917,7980,8013,8200,8320,8604,8714,8740,8764,8836,9052,9135,9145,9308,9355,9370,9415,9429,9474,10057,10125,10257,10274,10586,10628,10665,10666,10678,10745,10956,11102,11170,22806,23228,23534,23569,23643,23766,26147,26191,50943,51561,51744,53347,54541,54826,54899,55289,55755,55937,55971,56244,56901,57007,57705,57719,79016,79258,79722,81567,81849,84159,84162,84709,84752,85313,90355,117289,122618,130540,151056,160364,171425,200734,219790,221895,285704,342132,652968,653361]
"""C0010592""";[1723,2280,5478];"""C0003873""";[135,156,176,177,196,240,306,326,356,412,471,597,624,633,639,640,652,654,800,847,858,860,861,914,916,921,940,958,1021,1235,1244,1356,1401,1404,1437,1490,1493,1509,1656,1687,1719,1776,1803,1827,2023,2147,2212,2289,2356,2618,2625,2638,2870,2920,2974,3059,3115,3118,3123,3236,3237,3239,3290,3394,3458,3486,3491,3516,3553,3557,3559,3560,3569,3570,3572,3576,3586,3606,3654,3655,3663,3798,3899,3934,4082,4204,4218,4261,4282,4313,4319,4321,4353,4520,4524,4688,4794,4795,4982,5138,5243,5341,5444,5453,5583,5588,5673,5743,5747,5771,5788,5890,5911,5966,6355,6366,6372,6441,6556,6583,6611,6648,6772,6775,6821,7090,7097,7112,7124,7127,7128,7185,7189,7297,7422,7852,7917,7980,8013,8200,8320,8604,8714,8740,8764,8836,9052,9135,9145,9308,9355,9370,9415,9429,9474,10057,10125,10257,10274,10586,10628,10665,10666,10678,10745,10956,11102,11170,22806,23228,23534,23569,23643,23766,26147,26191,50943,51561,51744,53347,54541,54826,54899,55289,55755,55937,55971,56244,56901,57007,57705,57719,79016,79258,79722,81567,81849,84159,84162,84709,84752,85313,90355,117289,122618,130540,151056,160364,171425,200734,219790,221895,285704,342132,652968,653361]
"[""C0004057"",""C0020740"",""C0027396"",""C0038792"",""C0021246"",""C0022635"",""C0031990"",""C0040377"",""C0016377"",""C0012091"",""C0069739"",""C0015837"",""C0012228"",""C0025152"",""C0038878"",""C0073631"",""C0961209"",""C0054094"",""C0030125""]";[5742,5743];"""C0003873""";[135,156,176,177,196,240,306,326,356,412,471,597,624,633,639,640,652,654,800,847,858,860,861,914,916,921,940,958,1021,1235,1244,1356,1401,1404,1437,1490,1493,1509,1656,1687,1719,1776,1803,1827,2023,2147,2212,2289,2356,2618,2625,2638,2870,2920,2974,3059,3115,3118,3123,3236,3237,3239,3290,3394,3458,3486,3491,3516,3553,3557,3559,3560,3569,3570,3572,3576,3586,3606,3654,3655,3663,3798,3899,3934,4082,4204,4218,4261,4282,4313,4319,4321,4353,4520,4524,4688,4794,4795,4982,5138,5243,5341,5444,5453,5583,5588,5673,5743,5747,5771,5788,5890,5911,5966,6355,6366,6372,6441,6556,6583,6611,6648,6772,6775,6821,7090,7097,7112,7124,7127,7128,7185,7189,7297,7422,7852,7917,7980,8013,8200,8320,8604,8714,8740,8764,8836,9052,9135,9145,9308,9355,9370,9415,9429,9474,10057,10125,10257,10274,10586,10628,10665,10666,10678,10745,10956,11102,11170,22806,23228,23534,23569,23643,23766,26147,26191,50943,51561,51744,53347,54541,54826,54899,55289,55755,55937,55971,56244,56901,57007,57705,57719,79016,79258,79722,81567,81849,84159,84162,84709,84752,85313,90355,117289,122618,130540,151056,160364,171425,200734,219790,221895,285704,342132,652968,653361]
"[""C0059865"",""C0538927"",""C0083381"",""C0068334"",""C0913246"",""C0762662""]";5743;"""C0003873""";[135,156,176,177,196,240,306,326,356,412,471,597,624,633,639,640,652,654,800,847,858,860,861,914,916,921,940,958,1021,1235,1244,1356,1401,1404,1437,1490,1493,1509,1656,1687,1719,1776,1803,1827,2023,2147,2212,2289,2356,2618,2625,2638,2870,2920,2974,3059,3115,3118,3123,3236,3237,3239,3290,3394,3458,3486,3491,3516,3553,3557,3559,3560,3569,3570,3572,3576,3586,3606,3654,3655,3663,3798,3899,3934,4082,4204,4218,4261,4282,4313,4319,4321,4353,4520,4524,4688,4794,4795,4982,5138,5243,5341,5444,5453,5583,5588,5673,5743,5747,5771,5788,5890,5911,5966,6355,6366,6372,6441,6556,6583,6611,6648,6772,6775,6821,7090,7097,7112,7124,7127,7128,7185,7189,7297,7422,7852,7917,7980,8013,8200,8320,8604,8714,8740,8764,8836,9052,9135,9145,9308,9355,9370,9415,9429,9474,10057,10125,10257,10274,10586,10628,10665,10666,10678,10745,10956,11102,11170,22806,23228,23534,23569,23643,23766,26147,26191,50943,51561,51744,53347,54541,54826,54899,55289,55755,55937,55971,56244,56901,57007,57705,57719,79016,79258,79722,81567,81849,84159,84162,84709,84752,85313,90355,117289,122618,130540,151056,160364,171425,200734,219790,221895,285704,342132,652968,653361]
"[""C0666743"",""C1122087"",""C2353893"",""C0717758"",""C1872109""]";7124;"""C0003873""";[135,156,176,177,196,240,306,326,356,412,471,597,624,633,639,640,652,654,800,847,858,860,861,914,916,921,940,958,1021,1235,1244,1356,1401,1404,1437,1490,1493,1509,1656,1687,1719,1776,1803,1827,2023,2147,2212,2289,2356,2618,2625,2638,2870,2920,2974,3059,3115,3118,3123,3236,3237,3239,3290,3394,3458,3486,3491,3516,3553,3557,3559,3560,3569,3570,3572,3576,3586,3606,3654,3655,3663,3798,3899,3934,4082,4204,4218,4261,4282,4313,4319,4321,4353,4520,4524,4688,4794,4795,4982,5138,5243,5341,5444,5453,5583,5588,5673,5743,5747,5771,5788,5890,5911,5966,6355,6366,6372,6441,6556,6583,6611,6648,6772,6775,6821,7090,7097,7112,7124,7127,7128,7185,7189,7297,7422,7852,7917,7980,8013,8200,8320,8604,8714,8740,8764,8836,9052,9135,9145,9308,9355,9370,9415,9429,9474,10057,10125,10257,10274,10586,10628,10665,10666,10678,10745,10956,11102,11170,22806,23228,23534,23569,23643,23766,26147,26191,50943,51561,51744,53347,54541,54826,54899,55289,55755,55937,55971,56244,56901,57007,57705,57719,79016,79258,79722,81567,81849,84159,84162,84709,84752,85313,90355,117289,122618,130540,151056,160364,171425,200734,219790,221895,285704,342132,652968,653361]
"[""C0039736"",""C1144149""]";51185;"""C0003873""";[135,156,176,177,196,240,306,326,356,412,471,597,624,633,639,640,652,654,800,847,858,860,861,914,916,921,940,958,1021,1235,1244,1356,1401,1404,1437,1490,1493,1509,1656,1687,1719,1776,1803,1827,2023,2147,2212,2289,2356,2618,2625,2638,2870,2920,2974,3059,3115,3118,3123,3236,3237,3239,3290,3394,3458,3486,3491,3516,3553,3557,3559,3560,3569,3570,3572,3576,3586,3606,3654,3655,3663,3798,3899,3934,4082,4204,4218,4261,4282,4313,4319,4321,4353,4520,4524,4688,4794,4795,4982,5138,5243,5341,5444,5453,5583,5588,5673,5743,5747,5771,5788,5890,5911,5966,6355,6366,6372,6441,6556,6583,6611,6648,6772,6775,6821,7090,7097,7112,7124,7127,7128,7185,7189,7297,7422,7852,7917,7980,8013,8200,8320,8604,8714,8740,8764,8836,9052,9135,9145,9308,9355,9370,9415,9429,9474,10057,10125,10257,10274,10586,10628,10665,10666,10678,10745,10956,11102,11170,22806,23228,23534,23569,23643,23766,26147,26191,50943,51561,51744,53347,54541,54826,54899,55289,55755,55937,55971,56244,56901,57007,57705,57719,79016,79258,79722,81567,81849,84159,84162,84709,84752,85313,90355,117289,122618,130540,151056,160364,171425,200734,219790,221895,285704,342132,652968,653361]
"[""C0393022"",""C1832027""]";931;"""C0003873""";[135,156,176,177,196,240,306,326,356,412,471,597,624,633,639,640,652,654,800,847,858,860,861,914,916,921,940,958,1021,1235,1244,1356,1401,1404,1437,1490,1493,1509,1656,1687,1719,1776,1803,1827,2023,2147,2212,2289,2356,2618,2625,2638,2870,2920,2974,3059,3115,3118,3123,3236,3237,3239,3290,3394,3458,3486,3491,3516,3553,3557,3559,3560,3569,3570,3572,3576,3586,3606,3654,3655,3663,3798,3899,3934,4082,4204,4218,4261,4282,4313,4319,4321,4353,4520,4524,4688,4794,4795,4982,5138,5243,5341,5444,5453,5583,5588,5673,5743,5747,5771,5788,5890,5911,5966,6355,6366,6372,6441,6556,6583,6611,6648,6772,6775,6821,7090,7097,7112,7124,7127,7128,7185,7189,7297,7422,7852,7917,7980,8013,8200,8320,8604,8714,8740,8764,8836,9052,9135,9145,9308,9355,9370,9415,9429,9474,10057,10125,10257,10274,10586,10628,10665,10666,10678,10745,10956,11102,11170,22806,23228,23534,23569,23643,23766,26147,26191,50943,51561,51744,53347,54541,54826,54899,55289,55755,55937,55971,56244,56901,57007,57705,57719,79016,79258,79722,81567,81849,84159,84162,84709,84752,85313,90355,117289,122618,130540,151056,160364,171425,200734,219790,221895,285704,342132,652968,653361]
"""C0063041""";1723;"""C0003873""";[135,156,176,177,196,240,306,326,356,412,471,597,624,633,639,640,652,654,800,847,858,860,861,914,916,921,940,958,1021,1235,1244,1356,1401,1404,1437,1490,1493,1509,1656,1687,1719,1776,1803,1827,2023,2147,2212,2289,2356,2618,2625,2638,2870,2920,2974,3059,3115,3118,3123,3236,3237,3239,3290,3394,3458,3486,3491,3516,3553,3557,3559,3560,3569,3570,3572,3576,3586,3606,3654,3655,3663,3798,3899,3934,4082,4204,4218,4261,4282,4313,4319,4321,4353,4520,4524,4688,4794,4795,4982,5138,5243,5341,5444,5453,5583,5588,5673,5743,5747,5771,5788,5890,5911,5966,6355,6366,6372,6441,6556,6583,6611,6648,6772,6775,6821,7090,7097,7112,7124,7127,7128,7185,7189,7297,7422,7852,7917,7980,8013,8200,8320,8604,8714,8740,8764,8836,9052,9135,9145,9308,9355,9370,9415,9429,9474,10057,10125,10257,10274,10586,10628,10665,10666,10678,10745,10956,11102,11170,22806,23228,23534,23569,23643,23766,26147,26191,50943,51561,51744,53347,54541,54826,54899,55289,55755,55937,55971,56244,56901,57007,57705,57719,79016,79258,79722,81567,81849,84159,84162,84709,84752,85313,90355,117289,122618,130540,151056,160364,171425,200734,219790,221895,285704,342132,652968,653361]
"""C0036078""";[240,5742,5743];"""C0003873""";[135,156,176,177,196,240,306,326,356,412,471,597,624,633,639,640,652,654,800,847,858,860,861,914,916,921,940,958,1021,1235,1244,1356,1401,1404,1437,1490,1493,1509,1656,1687,1719,1776,1803,1827,2023,2147,2212,2289,2356,2618,2625,2638,2870,2920,2974,3059,3115,3118,3123,3236,3237,3239,3290,3394,3458,3486,3491,3516,3553,3557,3559,3560,3569,3570,3572,3576,3586,3606,3654,3655,3663,3798,3899,3934,4082,4204,4218,4261,4282,4313,4319,4321,4353,4520,4524,4688,4794,4795,4982,5138,5243,5341,5444,5453,5583,5588,5673,5743,5747,5771,5788,5890,5911,5966,6355,6366,6372,6441,6556,6583,6611,6648,6772,6775,6821,7090,7097,7112,7124,7127,7128,7185,7189,7297,7422,7852,7917,7980,8013,8200,8320,8604,8714,8740,8764,8836,9052,9135,9145,9308,9355,9370,9415,9429,9474,10057,10125,10257,10274,10586,10628,10665,10666,10678,10745,10956,11102,11170,22806,23228,23534,23569,23643,23766,26147,26191,50943,51561,51744,53347,54541,54826,54899,55289,55755,55937,55971,56244,56901,57007,57705,57719,79016,79258,79722,81567,81849,84159,84162,84709,84752,85313,90355,117289,122618,130540,151056,160364,171425,200734,219790,221895,285704,342132,652968,653361]
"""C0004482""";[3251,3614,3615,5471];"""C0003873""";[135,156,176,177,196,240,306,326,356,412,471,597,624,633,639,640,652,654,800,847,858,860,861,914,916,921,940,958,1021,1235,1244,1356,1401,1404,1437,1490,1493,1509,1656,1687,1719,1776,1803,1827,2023,2147,2212,2289,2356,2618,2625,2638,2870,2920,2974,3059,3115,3118,3123,3236,3237,3239,3290,3394,3458,3486,3491,3516,3553,3557,3559,3560,3569,3570,3572,3576,3586,3606,3654,3655,3663,3798,3899,3934,4082,4204,4218,4261,4282,4313,4319,4321,4353,4520,4524,4688,4794,4795,4982,5138,5243,5341,5444,5453,5583,5588,5673,5743,5747,5771,5788,5890,5911,5966,6355,6366,6372,6441,6556,6583,6611,6648,6772,6775,6821,7090,7097,7112,7124,7127,7128,7185,7189,7297,7422,7852,7917,7980,8013,8200,8320,8604,8714,8740,8764,8836,9052,9135,9145,9308,9355,9370,9415,9429,9474,10057,10125,10257,10274,10586,10628,10665,10666,10678,10745,10956,11102,11170,22806,23228,23534,23569,23643,23766,26147,26191,50943,51561,51744,53347,54541,54826,54899,55289,55755,55937,55971,56244,56901,57007,57705,57719,79016,79258,79722,81567,81849,84159,84162,84709,84752,85313,90355,117289,122618,130540,151056,160364,171425,200734,219790,221895,285704,342132,652968,653361]
"""C1619966""";[941,942];"""C0003873""";[135,156,176,177,196,240,306,326,356,412,471,597,624,633,639,640,652,654,800,847,858,860,861,914,916,921,940,958,1021,1235,1244,1356,1401,1404,1437,1490,1493,1509,1656,1687,1719,1776,1803,1827,2023,2147,2212,2289,2356,2618,2625,2638,2870,2920,2974,3059,3115,3118,3123,3236,3237,3239,3290,3394,3458,3486,3491,3516,3553,3557,3559,3560,3569,3570,3572,3576,3586,3606,3654,3655,3663,3798,3899,3934,4082,4204,4218,4261,4282,4313,4319,4321,4353,4520,4524,4688,4794,4795,4982,5138,5243,5341,5444,5453,5583,5588,5673,5743,5747,5771,5788,5890,5911,5966,6355,6366,6372,6441,6556,6583,6611,6648,6772,6775,6821,7090,7097,7112,7124,7127,7128,7185,7189,7297,7422,7852,7917,7980,8013,8200,8320,8604,8714,8740,8764,8836,9052,9135,9145,9308,9355,9370,9415,9429,9474,10057,10125,10257,10274,10586,10628,10665,10666,10678,10745,10956,11102,11170,22806,23228,23534,23569,23643,23766,26147,26191,50943,51561,51744,53347,54541,54826,54899,55289,55755,55937,55971,56244,56901,57007,57705,57719,79016,79258,79722,81567,81849,84159,84162,84709,84752,85313,90355,117289,122618,130540,151056,160364,171425,200734,219790,221895,285704,342132,652968,653361]
"""C0020336""";[51284,54106];"""C0003873""";[135,156,176,177,196,240,306,326,356,412,471,597,624,633,639,640,652,654,800,847,858,860,861,914,916,921,940,958,1021,1235,1244,1356,1401,1404,1437,1490,1493,1509,1656,1687,1719,1776,1803,1827,2023,2147,2212,2289,2356,2618,2625,2638,2870,2920,2974,3059,3115,3118,3123,3236,3237,3239,3290,3394,3458,3486,3491,3516,3553,3557,3559,3560,3569,3570,3572,3576,3586,3606,3654,3655,3663,3798,3899,3934,4082,4204,4218,4261,4282,4313,4319,4321,4353,4520,4524,4688,4794,4795,4982,5138,5243,5341,5444,5453,5583,5588,5673,5743,5747,5771,5788,5890,5911,5966,6355,6366,6372,6441,6556,6583,6611,6648,6772,6775,6821,7090,7097,7112,7124,7127,7128,7185,7189,7297,7422,7852,7917,7980,8013,8200,8320,8604,8714,8740,8764,8836,9052,9135,9145,9308,9355,9370,9415,9429,9474,10057,10125,10257,10274,10586,10628,10665,10666,10678,10745,10956,11102,11170,22806,23228,23534,23569,23643,23766,26147,26191,50943,51561,51744,53347,54541,54826,54899,55289,55755,55937,55971,56244,56901,57007,57705,57719,79016,79258,79722,81567,81849,84159,84162,84709,84752,85313,90355,117289,122618,130540,151056,160364,171425,200734,219790,221895,285704,342132,652968,653361]
"[""C0006938"",""C0014025"",""C0065374"",""C0118168"",""C0076891"",""C0066685"",""C0072857"",""C0136123"",""C0072973"",""C0053091""]";1636;"""C0003873""";[135,156,176,177,196,240,306,326,356,412,471,597,624,633,639,640,652,654,800,847,858,860,861,914,916,921,940,958,1021,1235,1244,1356,1401,1404,1437,1490,1493,1509,1656,1687,1719,1776,1803,1827,2023,2147,2212,2289,2356,2618,2625,2638,2870,2920,2974,3059,3115,3118,3123,3236,3237,3239,3290,3394,3458,3486,3491,3516,3553,3557,3559,3560,3569,3570,3572,3576,3586,3606,3654,3655,3663,3798,3899,3934,4082,4204,4218,4261,4282,4313,4319,4321,4353,4520,4524,4688,4794,4795,4982,5138,5243,5341,5444,5453,5583,5588,5673,5743,5747,5771,5788,5890,5911,5966,6355,6366,6372,6441,6556,6583,6611,6648,6772,6775,6821,7090,7097,7112,7124,7127,7128,7185,7189,7297,7422,7852,7917,7980,8013,8200,8320,8604,8714,8740,8764,8836,9052,9135,9145,9308,9355,9370,9415,9429,9474,10057,10125,10257,10274,10586,10628,10665,10666,10678,10745,10956,11102,11170,22806,23228,23534,23569,23643,23766,26147,26191,50943,51561,51744,53347,54541,54826,54899,55289,55755,55937,55971,56244,56901,57007,57705,57719,79016,79258,79722,81567,81849,84159,84162,84709,84752,85313,90355,117289,122618,130540,151056,160364,171425,200734,219790,221895,285704,342132,652968,653361]
"""C1609165""";[3570,3572];"""C0003873""";[135,156,176,177,196,240,306,326,356,412,471,597,624,633,639,640,652,654,800,847,858,860,861,914,916,921,940,958,1021,1235,1244,1356,1401,1404,1437,1490,1493,1509,1656,1687,1719,1776,1803,1827,2023,2147,2212,2289,2356,2618,2625,2638,2870,2920,2974,3059,3115,3118,3123,3236,3237,3239,3290,3394,3458,3486,3491,3516,3553,3557,3559,3560,3569,3570,3572,3576,3586,3606,3654,3655,3663,3798,3899,3934,4082,4204,4218,4261,4282,4313,4319,4321,4353,4520,4524,4688,4794,4795,4982,5138,5243,5341,5444,5453,5583,5588,5673,5743,5747,5771,5788,5890,5911,5966,6355,6366,6372,6441,6556,6583,6611,6648,6772,6775,6821,7090,7097,7112,7124,7127,7128,7185,7189,7297,7422,7852,7917,7980,8013,8200,8320,8604,8714,8740,8764,8836,9052,9135,9145,9308,9355,9370,9415,9429,9474,10057,10125,10257,10274,10586,10628,10665,10666,10678,10745,10956,11102,11170,22806,23228,23534,23569,23643,23766,26147,26191,50943,51561,51744,53347,54541,54826,54899,55289,55755,55937,55971,56244,56901,57007,57705,57719,79016,79258,79722,81567,81849,84159,84162,84709,84752,85313,90355,117289,122618,130540,151056,160364,171425,200734,219790,221895,285704,342132,652968,653361]
"""C0008269""";[3039,3040];"""C0003873""";[135,156,176,177,196,240,306,326,356,412,471,597,624,633,639,640,652,654,800,847,858,860,861,914,916,921,940,958,1021,1235,1244,1356,1401,1404,1437,1490,1493,1509,1656,1687,1719,1776,1803,1827,2023,2147,2212,2289,2356,2618,2625,2638,2870,2920,2974,3059,3115,3118,3123,3236,3237,3239,3290,3394,3458,3486,3491,3516,3553,3557,3559,3560,3569,3570,3572,3576,3586,3606,3654,3655,3663,3798,3899,3934,4082,4204,4218,4261,4282,4313,4319,4321,4353,4520,4524,4688,4794,4795,4982,5138,5243,5341,5444,5453,5583,5588,5673,5743,5747,5771,5788,5890,5911,5966,6355,6366,6372,6441,6556,6583,6611,6648,6772,6775,6821,7090,7097,7112,7124,7127,7128,7185,7189,7297,7422,7852,7917,7980,8013,8200,8320,8604,8714,8740,8764,8836,9052,9135,9145,9308,9355,9370,9415,9429,9474,10057,10125,10257,10274,10586,10628,10665,10666,10678,10745,10956,11102,11170,22806,23228,23534,23569,23643,23766,26147,26191,50943,51561,51744,53347,54541,54826,54899,55289,55755,55937,55971,56244,56901,57007,57705,57719,79016,79258,79722,81567,81849,84159,84162,84709,84752,85313,90355,117289,122618,130540,151056,160364,171425,200734,219790,221895,285704,342132,652968,653361]
"""C0245109""";3554;"""C0003873""";[135,156,176,177,196,240,306,326,356,412,471,597,624,633,639,640,652,654,800,847,858,860,861,914,916,921,940,958,1021,1235,1244,1356,1401,1404,1437,1490,1493,1509,1656,1687,1719,1776,1803,1827,2023,2147,2212,2289,2356,2618,2625,2638,2870,2920,2974,3059,3115,3118,3123,3236,3237,3239,3290,3394,3458,3486,3491,3516,3553,3557,3559,3560,3569,3570,3572,3576,3586,3606,3654,3655,3663,3798,3899,3934,4082,4204,4218,4261,4282,4313,4319,4321,4353,4520,4524,4688,4794,4795,4982,5138,5243,5341,5444,5453,5583,5588,5673,5743,5747,5771,5788,5890,5911,5966,6355,6366,6372,6441,6556,6583,6611,6648,6772,6775,6821,7090,7097,7112,7124,7127,7128,7185,7189,7297,7422,7852,7917,7980,8013,8200,8320,8604,8714,8740,8764,8836,9052,9135,9145,9308,9355,9370,9415,9429,9474,10057,10125,10257,10274,10586,10628,10665,10666,10678,10745,10956,11102,11170,22806,23228,23534,23569,23643,23766,26147,26191,50943,51561,51744,53347,54541,54826,54899,55289,55755,55937,55971,56244,56901,57007,57705,57719,79016,79258,79722,81567,81849,84159,84162,84709,84752,85313,90355,117289,122618,130540,151056,160364,171425,200734,219790,221895,285704,342132,652968,653361]
"[""C0076840"",""C0016860"",""C0014963""]";6557;"""C0003962""";1131
"[""C0002502"",""C0040869""]";6337;"""C0003962""";1131
"""C0006376""";[476,6557,6558];"""C0003962""";1131
"[""C0037982"",""C0016280"",""C0961485""]";4306;"""C0003962""";1131
"[""C0032950"",""C0020268"",""C0011777"",""C0040864"",""C0054201"",""C0025815"",""C0060501"",""C0010137"",""C0032952"",""C0004905"",""C0360564"",""C0907850"",""C1948374"",""C0058004"",""C0005308"",""C0016299"",""C0016298"",""C0071836"",""C0304612"",""C0011707"",""C0082787""]";2908;"""C0004096""";[108,117,142,154,217,240,374,383,384,596,632,847,929,1017,1728,1767,1786,1906,2066,2549,2944,2950,3113,3115,3117,3119,3123,3135,3162,3176,3291,3371,3383,3553,3557,3560,3565,3567,3570,3593,3596,3880,4088,4318,4319,4589,4602,4843,4852,4855,5089,5142,5144,5328,5515,5592,5660,5728,6037,6095,6347,6352,6356,6490,6584,6647,6701,7040,7078,7096,7124,7145,7356,7422,7941,8809,8989,9173,9547,10111,10451,10665,11127,22806,23108,23194,23274,23418,25890,29119,30009,51088,51131,55876,60495,64375,85480,90865,94103,117156,134430,149628,169026,222256,282617,284110,286046,387129]
"[""C0022860"",""C0014563"",""C0058415"",""C0028351""]";[146,147,148,150,151,152,153,154,155];"""C0004096""";[108,117,142,154,217,240,374,383,384,596,632,847,929,1017,1728,1767,1786,1906,2066,2549,2944,2950,3113,3115,3117,3119,3123,3135,3162,3176,3291,3371,3383,3553,3557,3560,3565,3567,3570,3593,3596,3880,4088,4318,4319,4589,4602,4843,4852,4855,5089,5142,5144,5328,5515,5592,5660,5728,6037,6095,6347,6352,6356,6490,6584,6647,6701,7040,7078,7096,7124,7145,7356,7422,7941,8809,8989,9173,9547,10111,10451,10665,11127,22806,23108,23194,23274,23418,25890,29119,30009,51088,51131,55876,60495,64375,85480,90865,94103,117156,134430,149628,169026,222256,282617,284110,286046,387129]
"[""C0002575"",""C0039771"",""C0055578""]";[134,135,136,140,5139,5140,5141,5142,5143,5144];"""C0004096""";[108,117,142,154,217,240,374,383,384,596,632,847,929,1017,1728,1767,1786,1906,2066,2549,2944,2950,3113,3115,3117,3119,3123,3135,3162,3176,3291,3371,3383,3553,3557,3560,3565,3567,3570,3593,3596,3880,4088,4318,4319,4589,4602,4843,4852,4855,5089,5142,5144,5328,5515,5592,5660,5728,6037,6095,6347,6352,6356,6490,6584,6647,6701,7040,7078,7096,7124,7145,7356,7422,7941,8809,8989,9173,9547,10111,10451,10665,11127,22806,23108,23194,23274,23418,25890,29119,30009,51088,51131,55876,60495,64375,85480,90865,94103,117156,134430,149628,169026,222256,282617,284110,286046,387129]
"[""C0053817"",""C0073992"",""C0071129"",""C0029193"",""C0001927"",""C1722260"",""C0039542"",""C0022176"",""C0060657""]";154;"""C0004096""";[108,117,142,154,217,240,374,383,384,596,632,847,929,1017,1728,1767,1786,1906,2066,2549,2944,2950,3113,3115,3117,3119,3123,3135,3162,3176,3291,3371,3383,3553,3557,3560,3565,3567,3570,3593,3596,3880,4088,4318,4319,4589,4602,4843,4852,4855,5089,5142,5144,5328,5515,5592,5660,5728,6037,6095,6347,6352,6356,6490,6584,6647,6701,7040,7078,7096,7124,7145,7356,7422,7941,8809,8989,9173,9547,10111,10451,10665,11127,22806,23108,23194,23274,23418,25890,29119,30009,51088,51131,55876,60495,64375,85480,90865,94103,117156,134430,149628,169026,222256,282617,284110,286046,387129]
"[""C0700580"",""C0006945"",""C0041190""]";1131;"""C0004096""";[108,117,142,154,217,240,374,383,384,596,632,847,929,1017,1728,1767,1786,1906,2066,2549,2944,2950,3113,3115,3117,3119,3123,3135,3162,3176,3291,3371,3383,3553,3557,3560,3565,3567,3570,3593,3596,3880,4088,4318,4319,4589,4602,4843,4852,4855,5089,5142,5144,5328,5515,5592,5660,5728,6037,6095,6347,6352,6356,6490,6584,6647,6701,7040,7078,7096,7124,7145,7356,7422,7941,8809,8989,9173,9547,10111,10451,10665,11127,22806,23108,23194,23274,23418,25890,29119,30009,51088,51131,55876,60495,64375,85480,90865,94103,117156,134430,149628,169026,222256,282617,284110,286046,387129]
